111669149696,METHOD_PARAMETER_IN,,struct S *s,10,,BY_VALUE,1,false,3,s,,,1,,S*
111669149697,METHOD_PARAMETER_IN,,int *p,23,,BY_VALUE,2,false,3,p,,,2,,int*
111669149698,METHOD_PARAMETER_IN,,int i,31,,BY_VALUE,3,false,3,i,,,3,,int
111669149699,METHOD_PARAMETER_IN,,p1,,,BY_VALUE,1,false,,p1,,,1,,ANY
111669149700,METHOD_PARAMETER_IN,,p1,,,BY_VALUE,1,false,,p1,,,1,,ANY
111669149701,METHOD_PARAMETER_IN,,p2,,,BY_VALUE,2,false,,p2,,,2,,ANY
111669149702,METHOD_PARAMETER_IN,,p1,,,BY_VALUE,1,false,,p1,,,1,,ANY
111669149703,METHOD_PARAMETER_IN,,p2,,,BY_VALUE,2,false,,p2,,,2,,ANY
111669149704,METHOD_PARAMETER_IN,,p1,,,BY_VALUE,1,false,,p1,,,1,,ANY
111669149705,METHOD_PARAMETER_IN,,p1,,,BY_VALUE,1,false,,p1,,,1,,ANY
111669149706,METHOD_PARAMETER_IN,,p1,,,BY_VALUE,1,false,,p1,,,1,,ANY
111669149707,METHOD_PARAMETER_IN,,p2,,,BY_VALUE,2,false,,p2,,,2,,ANY
111669149708,METHOD_PARAMETER_IN,,p1,,,BY_VALUE,1,false,,p1,,,1,,ANY
111669149709,METHOD_PARAMETER_IN,,p2,,,BY_VALUE,2,false,,p2,,,2,,ANY
111669149710,METHOD_PARAMETER_IN,,p1,,,BY_VALUE,1,false,,p1,,,1,,ANY
