115964116992,METHOD_PARAMETER_OUT,struct S *s,10,BY_VALUE,1,false,3,s,,,1,S*
115964116993,METHOD_PARAMETER_OUT,int *p,23,BY_VALUE,2,false,3,p,,,2,int*
115964116994,METHOD_PARAMETER_OUT,int i,31,BY_VALUE,3,false,3,i,,,3,int
115964116995,METHOD_PARAMETER_OUT,p1,,BY_VALUE,1,false,,p1,,,1,ANY
115964116996,METHOD_PARAMETER_OUT,p1,,BY_VALUE,1,false,,p1,,,1,ANY
115964116997,METHOD_PARAMETER_OUT,p2,,BY_VALUE,2,false,,p2,,,2,ANY
115964116998,METHOD_PARAMETER_OUT,p1,,BY_VALUE,1,false,,p1,,,1,ANY
115964116999,METHOD_PARAMETER_OUT,p2,,BY_VALUE,2,false,,p2,,,2,ANY
115964117000,METHOD_PARAMETER_OUT,p1,,BY_VALUE,1,false,,p1,,,1,ANY
115964117001,METHOD_PARAMETER_OUT,p1,,BY_VALUE,1,false,,p1,,,1,ANY
115964117002,METHOD_PARAMETER_OUT,p1,,BY_VALUE,1,false,,p1,,,1,ANY
115964117003,METHOD_PARAMETER_OUT,p2,,BY_VALUE,2,false,,p2,,,2,ANY
115964117004,METHOD_PARAMETER_OUT,p1,,BY_VALUE,1,false,,p1,,,1,ANY
115964117005,METHOD_PARAMETER_OUT,p2,,BY_VALUE,2,false,,p2,,,2,ANY
115964117006,METHOD_PARAMETER_OUT,p1,,BY_VALUE,1,false,,p1,,,1,ANY
